# This file contains a list of pixels to be added to the bad pixel mask. This
# list can be used as a catch-all to be sure that known bad pixels which may
# not be found using the bad pixel search algorithms are still flagged.
#
# Note that entries in the x and y columns can be single numbers, or a range
# of pixels (e.g. 350:352). When a range is given in this way, the values are
# assumed to be INCLUSIVE, so 350:352 means that rows 350, 351 AND 352 will be
# flagged. This is slightly different from python's convention of stopping
# one short of the second index in a range. The code also supports python-like
# behavior where the starting or ending value can be omitted, and the code
# will then extend the range to 0 or the maximum index number, respectively.
# e.g.  2030:   will flag all rows from 2030 to the end
#       :10     will flag all rows from 0 to 10 (inclusive)
#        :      will flag all rows
#
# Note that coordinates are assumed to be in a 0-indexed coordinate system.
#
# Flag values must be strings that match those in the jwst calibration
# pipeline's list of bad pixel types. Values are not case sensitive.
#
# This is a list of bad pixels for the NIRCam A1 detector
#
 x       y       flag
1307 467 DEAD
1308 467 DEAD
1309 467 DEAD
1311 467 DEAD
1313 467 DEAD
1306 468 DEAD
1307 468 DEAD
1308 468 DEAD
1309 468 DEAD
1310 468 DEAD
1311 468 DEAD
1312 468 DEAD
1314 468 DEAD
1315 468 DEAD
1322 468 DEAD
1325 468 DEAD
1340 468 DEAD
1307 469 DEAD
1308 469 DEAD
1310 469 DEAD
1311 469 DEAD
1312 469 DEAD
1313 469 DEAD
1314 469 DEAD
1315 469 DEAD
1316 469 DEAD
1324 469 DEAD
1328 469 DEAD
1330 469 DEAD
1334 469 DEAD
1304 470 DEAD
1305 470 DEAD
1307 470 DEAD
1308 470 DEAD
1309 470 DEAD
1310 470 DEAD
1313 470 DEAD
1314 470 DEAD
1315 470 DEAD
1316 470 DEAD
1317 470 DEAD
1318 470 DEAD
1328 470 DEAD
1329 470 DEAD
1331 470 DEAD
1333 470 DEAD
1334 470 DEAD
1335 470 DEAD
1340 470 DEAD
1341 470 DEAD
1361 470 DEAD
1362 470 DEAD
1302 471 DEAD
1303 471 DEAD
1306 471 DEAD
1307 471 DEAD
1308 471 DEAD
1309 471 DEAD
1310 471 DEAD
1311 471 DEAD
1312 471 DEAD
1313 471 DEAD
1314 471 DEAD
1315 471 DEAD
1316 471 DEAD
1317 471 DEAD
1318 471 DEAD
1319 471 DEAD
1320 471 DEAD
1321 471 DEAD
1322 471 DEAD
1329 471 DEAD
1331 471 DEAD
1333 471 DEAD
1335 471 DEAD
1336 471 DEAD
1338 471 DEAD
1339 471 DEAD
1340 471 DEAD
1342 471 DEAD
1343 471 DEAD
1345 471 DEAD
1354 471 DEAD
1355 471 DEAD
1358 471 DEAD
1301 472 DEAD
1304 472 DEAD
1306 472 DEAD
1307 472 DEAD
1308 472 DEAD
1309 472 DEAD
1310 472 DEAD
1311 472 DEAD
1312 472 DEAD
1313 472 DEAD
1314 472 DEAD
1315 472 DEAD
1316 472 DEAD
1317 472 DEAD
1318 472 DEAD
1319 472 DEAD
1320 472 DEAD
1332 472 DEAD
1333 472 DEAD
1334 472 DEAD
1335 472 DEAD
1336 472 DEAD
1337 472 DEAD
1339 472 DEAD
1340 472 DEAD
1341 472 DEAD
1342 472 DEAD
1343 472 DEAD
1345 472 DEAD
1347 472 DEAD
1352 472 DEAD
1353 472 DEAD
1355 472 DEAD
1298 473 DEAD
1301 473 DEAD
1303 473 DEAD
1305 473 DEAD
1308 473 DEAD
1311 473 DEAD
1312 473 DEAD
1313 473 DEAD
1314 473 DEAD
1315 473 DEAD
1316 473 DEAD
1317 473 DEAD
1318 473 DEAD
1319 473 DEAD
1320 473 DEAD
1321 473 DEAD
1322 473 DEAD
1323 473 DEAD
1324 473 DEAD
1326 473 DEAD
1327 473 DEAD
1328 473 DEAD
1329 473 DEAD
1334 473 DEAD
1335 473 DEAD
1337 473 DEAD
1339 473 DEAD
1340 473 DEAD
1341 473 DEAD
1342 473 DEAD
1344 473 DEAD
